title,url,source,category,college,location,description,department,specialization,systemGroup
(Open Rank) Teaching Faculty in Public Relations and Digital Communication (Non-Tenure Track),https://careers.pageuppeople.com/820/cw/en-us/job/505428/open-rank-teaching-faculty-in-public-relations-and-digital-communication-nontenure-track,PA,Faculty,Drexel University,"Faculty University City - Philadelphia, PA",,,,
***INTERNAL ONLY*** Chairperson-Associate or Full Professor,https://employment.ku.edu/jobs/faculty/internal-only-chairperson-associate-or-full-professor/32099br,KS,Faculty,University of Kansas,"Lawrence, KS",,,,Kansas
*Tenure-Track Faculty: Assistant Professor in Finance,https://apply.interfolio.com/169618,NY,Faculty,Fordham University,"Rose Hill and Lincoln Center Campuses, NY","The Gabelli School of Business at Fordham University invites applications for a tenure-track faculty position in Finance at the rank of Assistant Professor, to start on September 1, 2026. Hiring is contingent upon final budget approval by the University. Finance is a strategically important discipline within the Gabelli School and has grown considerably in both research productivity and course offerings in recent years. We seek faculty with strong research and publication potential in all areas of finance.&nbsp; &nbsp;",Finance,Finance,New York Public
*Tenure-Track: Assistant Professor in Accounting/Taxation,https://apply.interfolio.com/168555,NY,Faculty,Fordham University,"Rose Hill and Lincoln Center Campuses, NY","The Accounting and Taxation area of Fordham University’s Gabelli School of Business is seeking applications for two tenure-track assistant professor positions beginning September 1, 2026. The salary range is between $190,000 to $240,000 with guaranteed summer support and reduced teaching load for the first several years after hiring. Applicants are expected to have received their PhD by Fall 2026. The Gabelli School of Business is a strong and well-regarded business school. It consistently ranks high in national rankings for undergraduate programs (#21 in the nation), and graduate programs, especially for its MBA (#10 for Accounting Specialty Area in the nation), and EMBA (#10 in the nation). As the Gabelli School emphasizes both research and teaching, all candidates need to be able to work with students from a range of social, cultural, and economic backgrounds, have good communication skills, and have a commitment to mentor and serve as a role model for minority students. Having a diverse and inclusive community of students and faculty is a key part of Fordham's Strategic Plan . Fordham is an Equal Opportunity Employer, and women, people of color, and people with disabilities are especially encouraged to apply for the position. Consistent with our Jesuit tradition, we believe that cultural and intellectual diversity is central to the excellence of our academic program and strive to create an academic community and campus culture that attracts and facilitates the development of promising and diverse teacher-scholars. Moreover, as our student body at the Gabelli School becomes increasingly diverse, we are especially interested in candidates with substantive experience and commitment to teaching and mentoring students from a range of social, cultural, and economic backgrounds.&nbsp;&nbsp; While the Gabelli School is seeking to hire for two positions, there is no assurance that either or both positions will be filled. The actual hiring decisions will depend on candida",Accounting/Taxation,Accounting/Taxation,New York Public
"*Tenure-Track: Assistant Professor in Counseling Psychology, Graduate School of Education",https://apply.interfolio.com/169660,NY,Faculty,Fordham University,"Lincoln Center Campus, NY","The Division of Psychological &amp; Educational Services (PES), which is housed within Fordham University Graduate School of Education (GSE), invites applications for a tenure-track faculty position within its APA-accredited Counseling Psychology PhD Program and MPCAC-accredited master’s programs in School Counseling and Mental Health Counseling. We seek individuals who will contribute to teaching, scholarship/research, and mentoring. A successful candidate is expected to develop a systematic research program that involves students. Applicants should have demonstrated success or potential in obtaining extramural funding. Evidence of dedication to high-quality graduate teaching, advising, supervision, and research mentoring is expected. The program, division, school, and university are especially interested in qualified candidates who are committed to and will actively contribute to our efforts to celebrate our cultural and intellectual richness and be resolute in advancing equity and inclusion of the academic community through their research, teaching, and service. Position Responsibilities &nbsp; Provides outstanding teaching, advising, and mentoring to graduate students in all three counseling programs.&nbsp; Possesses interest, experience, and/or expertise in quantitative research methods and assessment. Maintains a coherent and productive research program that supports the counseling psychology program, includes graduate students as co-authors, and strengthens the GSE’s commitment and national leadership in research, training, and service with diverse populations. Maintains publication activity in high-quality peer-reviewed journals. Supervises graduate students from underrepresented groups in higher education, engages in student research, and encourages participation in conference presentations and publishing. Seeks and secures external funding to support research, personnel preparation, and/or outreach. Provides program, division, school, and university-wide s","Counseling Psychology, Graduate School of Education","Counseling Psychology, Graduate School of Education",New York Public
1855 Assistant/Associate/Full Professor - Of Engineering,https://careers.msu.edu/jobs/1855-assistant-associate-full-professor-east-lansing-michigan-united-states,MI,Faculty,Michigan State University,"East Lansing, MI",,Of Engineering,Of Engineering 1088952 The College of Engineering invites applications for a tenure-system,
1855 Associate/Full Professor-Tenure System - Of Human Medicine,https://careers.msu.edu/jobs/1855-associate-full-professor-tenure-system-flint-michigan-united-states-895e1923-fc94-4c55-ab79-49f75277e805,MI,Faculty,Michigan State University,"East Lansing, MI",,Of Human Medicine,Of Human Medicine 1061811 The College of Human Medicine at Michigan State University (MSU),
"2/16/2026 6:00:00 AM Caring Campus Employee Spotlight: Patricia Nevarez Former St. Philip’s College (SPC) student Patricia Nevarez now serves as Assistant Professor and Clinical Coordinator, preparing the next generation of cardiovascular professionals.",https://www.alamo.edu/spc/news-events/news/2026/february/caring-campus-employee-spotlight-patricia-navarez/,TX,Faculty,St Philip's College,"St Philip's College, TX",,preparing the next generation of cardiovascular professionals,preparing the next generation of cardiovascular professionals,Texas
2/16/2026 6:00:00 AM SPC Names Larry Canion as 2026 Minnie Stevens Piper Nominee St. Philips College (SPC) is proud to announce Professor Larry Canion as its 2026 Minnie Stevens Piper Nominee.,https://www.alamo.edu/spc/news-events/news/2026/february/spc-names-larry-canion-as-2026-minnie-stevens-piper-nominee/,TX,Faculty,St Philip's College,"St Philip's College, TX",,,,Texas
2/17/2026 6:00:00 AM The Professor Who Brought Mexican American Studies to Texas For Professor Emeritus Johnny McCain advancing Mexican-American studies was a personal mission.,https://www.alamo.edu/sac/news-events/news/2026/february/centennial-mccain/,TX,Faculty,San Antonio College,"San Antonio College, TX",,,,Texas
