sampleId,stratum,currentClassification,evidence,college,title,url,policySource,policyVerifiedAt,medicalLike,manualLabel,manualEvidenceUrl,reviewer,reviewNotes
AT-001,policy-tenure-track,tenure-track,institution-policy,"University of Nevada, Las Vegas","Hematology and Medical Oncology, Assistant/Associate/Professor",https://nshe.wd1.myworkdayjobs.com/UNLV-external/job/UNLV1-Medical-District/Assistant-Associate-Professor-and-or-Chief-of-the-Division-and-or-Program-Director-of-Hematology-and-Medical-Oncology--R0145582-_R0145582,https://www.unlv.edu/policies/unlv-bylaws/chapter-1,2026-09-20,true,,,,
AT-002,policy-tenure-track,tenure-track,institution-policy,Broward College,"Assistant Professor, Nursing (Multiple Vacancies) North Campus",https://browardcollege.wd5.myworkdayjobs.com/FT/job/North-Campus/Assistant-Professor--Nursing--Multiple-Vacancies--North-Campus_REQ-000046843,https://www.broward.edu/legal/policies-and-procedures/_docs/policy/6hx2-3.50.pdf,2026-09-22,true,,,,
AT-003,policy-tenure-track,tenure-track,institution-policy,College of Southern Maryland,10-Month Full-Time Economics Faculty,https://www.schooljobs.com/careers/csmd/facultyjobs/jobs/5171402/10-month-full-time-economics-faculty,https://www.csmd.edu/employment/frequently-asked-questions/index.html,2026-09-21,false,,,,
AT-004,policy-tenure-track,tenure-track,institution-policy,Kennesaw State University,Assistant Professor of Information Systems and Security (Cybersecurity),https://careers.hprod.onehcm.usg.edu/psc/careers/CAREERS/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=300740&PostingSeq=1,https://provost.uga.edu/wp-content/uploads/appointment-promotion-tenure-guidelines-academic-rank-faculty.pdf,2026-09-20,false,,,,
AT-005,policy-tenure-track,tenure-track,institution-policy,Owens Community College,"Instructor, Food, Nutrition and Hospitality",https://owens.wd1.myworkdayjobs.com/OCC/job/Owens-Toledo-Campus/Instructor--Food--Nutrition-and-Hospitality_JR101620,https://www.owens.edu/trustees/wp-content/uploads/sites/45/2026/01/5-59-Policy-Faculty-tenure.pdf,2026-09-21,true,,,,
AT-006,policy-tenure-track,tenure-track,institution-policy,Stony Brook University,"Robotic Cardiac Surgeon, Associate/Assistant/Professor, Surgery, Cardiothoracic Surgery",https://apply.interfolio.com/189758,https://www.suny.edu/hr/compensation/unclassified/other/academic-rank-titles/,2026-09-21,true,,,,
AT-007,policy-tenure-track,tenure-track,institution-policy,North Carolina Central University,Professor,https://jobs.nccu.edu/postings/34934,https://jobs.nccu.edu/postings/36530,2026-09-20,false,,,,
AT-008,policy-tenure-track,tenure-track,institution-policy,"Rutgers, The State University of New Jersey",Assistant Professor - Maternal – Fetal Medicine (Ob/Gyn),https://jobs.rutgers.edu/postings/271839,https://laborrelations.rutgers.edu/sites/default/files/document/appointments_promotions_guidelines_00385501xb0a50.pdf,2026-09-16,true,,,,
AT-009,policy-tenure-track,tenure-track,institution-policy,SUNY Oswego,Assistant Professor of Electrical and Computer Engineering,https://oswego.interviewexchange.com/jobofferdetails.jsp?JOBID=203994,https://www.suny.edu/hr/compensation/unclassified/other/academic-rank-titles/,2026-09-21,false,,,,
AT-010,policy-tenure-track,tenure-track,institution-policy,Texas Southern University,Assistant Professor in Health Administration,https://jobs.tsu.edu/postings/11580,https://www.tsu.edu/faculty-senate/images/faculty-manual.pdf,2026-09-21,true,,,,
AT-011,policy-tenure-track,tenure-track,institution-policy,Rice University,Professor of Computer Science,https://apply.interfolio.com/180852,https://policy.rice.edu/201,2026-09-21,false,,,,
AT-012,policy-tenure-track,tenure-track,institution-policy,Northwestern College,Business-Economics Faculty,https://www.nwciowa.edu/employment/openings/447/business-economics-faculty,https://www.nwciowa.edu/employment,2026-09-21,false,,,,
AT-013,policy-tenure-track,tenure-track,institution-policy,SUNY Onondaga Community College,English Language Institute Instructor,https://sunyocc.interviewexchange.com/jobofferdetails.jsp?JOBID=203380,https://nces.ed.gov/ipeds/complete-data-files/S2024_SIS.zip,2026-09-21,false,,,,
AT-014,policy-tenure-track,tenure-track,institution-policy,Jacksonville State University,"Assistant Professor, Sports Industry",https://careers.jsu.edu/jobs/assistant-professor-sports-industry-jacksonville-al-main-campus-alabama-united-states,https://www.jsu.edu/education/pdf/NCATE%20PDF/Exhibit%20Folder/Standard%206/workload.pdf,2026-09-21,false,,,,
AT-015,policy-tenure-track,tenure-track,institution-policy,CUNY City College,Lecturer - Urban Sustainability,https://cuny.jobs/new-york-ny/lecturer-urban-sustainability/8E78D1A867754581956F450C15ECA05C/job,https://psc-cuny.org/contract/article-11-classification-titles/,2026-09-15,false,,,,
AT-016,policy-tenure-track,tenure-track,institution-policy,The University of Texas Health Science Center at Houston,"Assistant Professor (TT); Center for Health Equity (CHE) - Open Department, School of Public Health",https://careers.uth.tmc.edu/us/en/job/250001XR/Assistant-Professor-TT-;-Center-for-Health-Equity-CHE-Open-Department-School-of-Public-Health,https://www.uth.edu/hoop/policy.htm?id=1681890,2026-09-19,true,,,,
AT-017,policy-tenure-track,tenure-track,institution-policy,Gordon College,"Assistant, Associate, or Full Professor of Language and Literacy Education",https://d2z22iumei9dph.cloudfront.net/fs_public/Assistant-Associate-or-Full-Professor-of-Language-and-Literacy-Education-Ed.-D.pdf,https://d2z22iumei9dph.cloudfront.net/fs_public/Assistant-Associate-or-Full-Professor-of-Language-and-Literacy-Education-Ed.-D.pdf,2026-09-22,false,,,,
AT-018,policy-tenure-track,tenure-track,institution-policy,University of Arkansas,Assistant/Associate/Full Professor of Law (Open Rank),https://uasys.wd5.myworkdayjobs.com/UAF_External_Career_Site/job/Fayetteville-AR/Assistant-Associate-Full-Professor-of-Law--Open-Rank-_R0088929,https://uasys.wd5.myworkdayjobs.com/UAF_External_Career_Site/job/Fayetteville-AR/Assistant-Associate-Full-Professor-of-Law--Open-Rank-_R0088929,2026-09-22,false,,,,
AT-019,policy-tenure-track,tenure-track,institution-policy,Palomar College,"Assistant Professor, Emergency Medical Technologies",https://www.communitycollegecareerconnect.com/jobs/cmssc0zh8002101mirxputfu3,https://palomar.peopleadmin.com/postings/25374,2026-09-21,true,,,,
AT-020,policy-tenure-track,tenure-track,institution-policy,Middlebury College,Department of Philosophy - Assistant Professor,https://apply.interfolio.com/187640,https://www.middlebury.edu/college/academics/academic-affairs/faculty/prospective-faculty/open-positions,2026-09-20,false,,,,
AT-021,policy-tenure-track,tenure-track,institution-policy,Metropolitan State University,State University Faculty - Assistant Professor of Accounting,https://minnstate.wd115.myworkdayjobs.com/Minnesota_State_Careers/job/St-Paul/State-University-Faculty---Assistant-Professor-of-Accounting_JR0000005494,https://www.minnstate.edu/system/working/docs/contracts/ifo-contract.pdf,2026-09-21,false,,,,
